Title,Tier,Difficulty,OS,Category,URL,Scenario
Meow,🟢 FREE,Very Easy,Linux,Starting Point (Machine),https://app.hackthebox.com/machines/Meow,Telnet 服務探測、無密碼 root 登入直接獲取 Flag
Fawn,🟢 FREE,Very Easy,Linux,Starting Point (Machine),https://app.hackthebox.com/machines/Fawn,FTP 服務枚舉、匿名訪客存取 (Anonymous Login) 下載機密檔案
Dancing,🟢 FREE,Very Easy,Windows,Starting Point (Machine),https://app.hackthebox.com/machines/Dancing,SMB 共享資源枚舉、無密碼訪客存取與管理員備份洩漏
Explosion,🔴 VIP+,Very Easy,Windows,Starting Point (Machine),https://app.hackthebox.com/machines/Explosion,RDP 服務枚舉 (被標註為 VIP+)
Crocodile,🟢 FREE,Easy,Linux,Starting Point (Machine),https://app.hackthebox.com/machines/Crocodile,FTP 服務洩漏憑證、Web 管理後台預設帳密突破
Responder,🟢 FREE,Easy,Windows,Starting Point (Machine),https://app.hackthebox.com/machines/Responder,Web LFI 本地檔案包含、LLMNR/NBT-NS 毒化、NTLM 雜湊捕捉提權
Three,🟢 FREE,Easy,Linux,Starting Point (Machine),https://app.hackthebox.com/machines/Three,子域名探勘、AWS S3 儲存貯體未授權寫入與 PHP WebShell
Bike,🔴 VIP+,Easy,Linux,Starting Point (Machine),https://app.hackthebox.com/machines/Bike,Node.js SSTI 模板注入 (被標註為 VIP+)
Vaccine,🟢 FREE,Easy,Linux,Starting Point (Machine),https://app.hackthebox.com/machines/Vaccine,SQL 注入攻擊 (SQLi)、資料庫密碼雜湊破解與 Sudo 提權
Archetype,🟢 FREE,Easy,Windows,Starting Point (Machine),https://app.hackthebox.com/machines/Archetype,MSSQL 滲透、xp_cmdshell 遠端指令執行、Windows 登錄檔密碼提權
Oopsie,🟢 FREE,Easy,Linux,Starting Point (Machine),https://app.hackthebox.com/machines/Oopsie,Web 權限繞過、IDOR 不安全直接物件參考、SUID 二進位提權
Markup,🔴 VIP+,Easy,Windows,Starting Point (Machine),https://app.hackthebox.com/machines/Markup,XXE 實體注入攻擊 (被標註為 VIP+)
Included,🔴 VIP+,Easy,Linux,Starting Point (Machine),https://app.hackthebox.com/machines/Included,TFTP 服務利用與 UDP 滲透 (被標註為 VIP+)
Unified,🟢 FREE,Medium,Linux,Starting Point (Machine),https://app.hackthebox.com/machines/Unified,Log4j (CVE-2021-44228) 漏洞利用、UniFi 平台無檔案反彈 Shell
Management,🟢 FREE,Easy,Linux,Active Machine (Full Pentest),https://app.hackthebox.com/machines/Management,當期線上常規主機攻堅演練 (20 pts) ｜ 發布日期: 2026-09-12
Scaffold,🟢 FREE,Hard,Windows,Active Machine (Full Pentest),https://app.hackthebox.com/machines/Scaffold,當期線上常規主機攻堅演練 (40 pts) ｜ 發布日期: 2026-09-05
BlockSynergy,🟢 FREE,Insane,Linux,Active Machine (Full Pentest),https://app.hackthebox.com/machines/BlockSynergy,當期線上常規主機攻堅演練 (50 pts) ｜ 發布日期: 2026-08-29
TrustFall,🟢 FREE,Insane,Windows,Active Machine (Full Pentest),https://app.hackthebox.com/machines/TrustFall,當期線上常規主機攻堅演練 (50 pts) ｜ 發布日期: 2026-09-11
DanglingTree,🟢 FREE,Medium,Windows,Active Machine (Full Pentest),https://app.hackthebox.com/machines/DanglingTree,當期線上常規主機攻堅演練 (30 pts) ｜ 發布日期: 2026-08-08
