Topic,Title,Tier,Difficulty,URL,Slug
SQL Injection,SQL injection vulnerability in WHERE clause allowing retrieval of hidden data,🟢 FREE,Apprentice,https://portswigger.net/web-security/sql-injection/lab-retrieve-hidden-data,lab-retrieve-hidden-data
SQL Injection,SQL injection vulnerability allowing login bypass,🟢 FREE,Apprentice,https://portswigger.net/web-security/sql-injection/lab-login-bypass,lab-login-bypass
SQL Injection,"SQL injection attack, querying the database type and version on Oracle",🟢 FREE,Practitioner,https://portswigger.net/web-security/sql-injection/examining-the-database/lab-querying-database-version-oracle,lab-querying-database-version-oracle
SQL Injection,"SQL injection attack, querying the database type and version on MySQL and Microsoft",🟢 FREE,Practitioner,https://portswigger.net/web-security/sql-injection/examining-the-database/lab-querying-database-version-mysql-microsoft,lab-querying-database-version-mysql-microsoft
SQL Injection,"SQL injection attack, listing the database contents on non-Oracle databases",🟢 FREE,Practitioner,https://portswigger.net/web-security/sql-injection/examining-the-database/lab-listing-database-contents-non-oracle,lab-listing-database-contents-non-oracle
SQL Injection,"SQL injection attack, listing the database contents on Oracle",🟢 FREE,Practitioner,https://portswigger.net/web-security/sql-injection/examining-the-database/lab-listing-database-contents-oracle,lab-listing-database-contents-oracle
SQL Injection,"SQL injection UNION attack, determining the number of columns returned by the query",🟢 FREE,Practitioner,https://portswigger.net/web-security/sql-injection/union-attacks/lab-determine-number-of-columns,lab-determine-number-of-columns
SQL Injection,"SQL injection UNION attack, finding a column containing text",🟢 FREE,Practitioner,https://portswigger.net/web-security/sql-injection/union-attacks/lab-find-column-containing-text,lab-find-column-containing-text
SQL Injection,"SQL injection UNION attack, retrieving data from other tables",🟢 FREE,Practitioner,https://portswigger.net/web-security/sql-injection/union-attacks/lab-retrieve-data-from-other-tables,lab-retrieve-data-from-other-tables
SQL Injection,"SQL injection UNION attack, retrieving multiple values in a single column",🟢 FREE,Practitioner,https://portswigger.net/web-security/sql-injection/union-attacks/lab-retrieve-multiple-values-in-single-column,lab-retrieve-multiple-values-in-single-column
SQL Injection,Blind SQL injection with conditional responses,🟢 FREE,Practitioner,https://portswigger.net/web-security/sql-injection/blind/lab-conditional-responses,lab-conditional-responses
SQL Injection,Blind SQL injection with conditional errors,🟢 FREE,Practitioner,https://portswigger.net/web-security/sql-injection/blind/lab-conditional-errors,lab-conditional-errors
SQL Injection,Visible error-based SQL injection,🟢 FREE,Practitioner,https://portswigger.net/web-security/sql-injection/blind/lab-sql-injection-visible-error-based,lab-sql-injection-visible-error-based
SQL Injection,Blind SQL injection with time delays,🟢 FREE,Practitioner,https://portswigger.net/web-security/sql-injection/blind/lab-time-delays,lab-time-delays
SQL Injection,Blind SQL injection with time delays and information retrieval,🟢 FREE,Practitioner,https://portswigger.net/web-security/sql-injection/blind/lab-time-delays-info-retrieval,lab-time-delays-info-retrieval
SQL Injection,Blind SQL injection with out-of-band interaction,🟢 FREE,Practitioner,https://portswigger.net/web-security/sql-injection/blind/lab-out-of-band,lab-out-of-band
SQL Injection,Blind SQL injection with out-of-band data exfiltration,🟢 FREE,Practitioner,https://portswigger.net/web-security/sql-injection/blind/lab-out-of-band-data-exfiltration,lab-out-of-band-data-exfiltration
SQL Injection,SQL injection with filter bypass via XML encoding,🟢 FREE,Practitioner,https://portswigger.net/web-security/sql-injection/lab-sql-injection-with-filter-bypass-via-xml-encoding,lab-sql-injection-with-filter-bypass-via-xml-encoding
OS Command Injection,"OS command injection, simple case",🟢 FREE,Apprentice,https://portswigger.net/web-security/os-command-injection/lab-simple,lab-simple
OS Command Injection,Blind OS command injection with time delays,🟢 FREE,Practitioner,https://portswigger.net/web-security/os-command-injection/lab-blind-time-delays,lab-blind-time-delays
OS Command Injection,Blind OS command injection with output redirection,🟢 FREE,Practitioner,https://portswigger.net/web-security/os-command-injection/lab-blind-output-redirection,lab-blind-output-redirection
OS Command Injection,Blind OS command injection with out-of-band interaction,🟢 FREE,Practitioner,https://portswigger.net/web-security/os-command-injection/lab-blind-out-of-band,lab-blind-out-of-band
OS Command Injection,Blind OS command injection with out-of-band data exfiltration,🟢 FREE,Practitioner,https://portswigger.net/web-security/os-command-injection/lab-blind-out-of-band-data-exfiltration,lab-blind-out-of-band-data-exfiltration
Path Traversal,"File path traversal, simple case",🟢 FREE,Apprentice,https://portswigger.net/web-security/file-path-traversal/lab-simple,lab-simple
Path Traversal,"File path traversal, traversal sequences blocked with absolute path bypass",🟢 FREE,Practitioner,https://portswigger.net/web-security/file-path-traversal/lab-absolute-path-bypass,lab-absolute-path-bypass
Path Traversal,"File path traversal, traversal sequences stripped non-recursively",🟢 FREE,Practitioner,https://portswigger.net/web-security/file-path-traversal/lab-sequences-stripped-non-recursively,lab-sequences-stripped-non-recursively
Path Traversal,"File path traversal, traversal sequences stripped with superfluous URL-decode",🟢 FREE,Practitioner,https://portswigger.net/web-security/file-path-traversal/lab-superfluous-url-decode,lab-superfluous-url-decode
