Category,Title,Room Code,Tier,Difficulty,URL
Active Directory & Windows,Adenumeration,adenumeration,🟢 FREE,Practitioner,https://tryhackme.com/room/adenumeration
Security Labs & CTF,Bandit,bandit,🟢 FREE,Practitioner,https://tryhackme.com/room/bandit
Active Directory & Windows,Breachingad,breachingad,🟢 FREE,Practitioner,https://tryhackme.com/room/breachingad
Security Labs & CTF,Cicdandbuildsecurity,cicdandbuildsecurity,🟢 FREE,Practitioner,https://tryhackme.com/room/cicdandbuildsecurity
Active Directory & Windows,Exploitingad,exploitingad,🟢 FREE,Practitioner,https://tryhackme.com/room/exploitingad
Security Labs & CTF,Ho Aoc2025 Ybomopbnex,ho-aoc2025-yboMoPbnEX,🟢 FREE,Practitioner,https://tryhackme.com/room/ho-aoc2025-yboMoPbnEX
Security Labs & CTF,Hololive,hololive,🟢 FREE,Practitioner,https://tryhackme.com/room/hololive
Security Labs & CTF,Lateralmovementandpivoting,lateralmovementandpivoting,🟢 FREE,Practitioner,https://tryhackme.com/room/lateralmovementandpivoting
Active Directory & Windows,Persistingad,persistingad,🟢 FREE,Practitioner,https://tryhackme.com/room/persistingad
Security Labs & CTF,Redteamcapstonechallenge,redteamcapstonechallenge,🟢 FREE,Practitioner,https://tryhackme.com/room/redteamcapstonechallenge
Security Labs & CTF,Wreath,wreath,🟢 FREE,Practitioner,https://tryhackme.com/room/wreath
Security Labs & CTF,Allsignspoint2Pwnage,allsignspoint2pwnage,🟢 FREE,Practitioner,https://tryhackme.com/room/allsignspoint2pwnage
SOC & Detection,Amazonec2Attackdefense,amazonec2attackdefense,🟢 FREE,Practitioner,https://tryhackme.com/room/amazonec2attackdefense
Security Labs & CTF,Apt28Inceptiontheory,apt28inceptiontheory,🟢 FREE,Practitioner,https://tryhackme.com/room/apt28inceptiontheory
Security Labs & CTF,Attackingdefendingvpcs,attackingdefendingvpcs,🟢 FREE,Practitioner,https://tryhackme.com/room/attackingdefendingvpcs
Security Labs & CTF,Avenger,avenger,🟢 FREE,Practitioner,https://tryhackme.com/room/avenger
Security Labs & CTF,Azhoppityhop,azhoppityhop,🟢 FREE,Practitioner,https://tryhackme.com/room/azhoppityhop
Security Labs & CTF,Azuresentinel Aoc2025 A7D3H9K0P2,azuresentinel-aoc2025-a7d3h9k0p2,🟢 FREE,Practitioner,https://tryhackme.com/room/azuresentinel-aoc2025-a7d3h9k0p2
Security Labs & CTF,Biblioteca,biblioteca,🟢 FREE,Practitioner,https://tryhackme.com/room/biblioteca
Security Labs & CTF,Binaryheaven,binaryheaven,🟢 FREE,Practitioner,https://tryhackme.com/room/binaryheaven
Security Labs & CTF,Burg3Rbytes,burg3rbytes,🟢 FREE,Practitioner,https://tryhackme.com/room/burg3rbytes
Security Labs & CTF,Busyvimfrosteau,busyvimfrosteau,🟢 FREE,Practitioner,https://tryhackme.com/room/busyvimfrosteau
Security Labs & CTF,Capturereturns,capturereturns,🟢 FREE,Practitioner,https://tryhackme.com/room/capturereturns
Security Labs & CTF,Carpediem1,carpediem1,🟢 FREE,Practitioner,https://tryhackme.com/room/carpediem1
Security Labs & CTF,Containment,containment,🟢 FREE,Practitioner,https://tryhackme.com/room/containment
Security Labs & CTF,Crocccrew,crocccrew,🟢 FREE,Practitioner,https://tryhackme.com/room/crocccrew
Security Labs & CTF,Ctfonepiece65,ctfonepiece65,🟢 FREE,Practitioner,https://tryhackme.com/room/ctfonepiece65
Security Labs & CTF,Davesblog,davesblog,🟢 FREE,Practitioner,https://tryhackme.com/room/davesblog
Active Directory & Windows,Deadend,deadend,🟢 FREE,Practitioner,https://tryhackme.com/room/deadend
Security Labs & CTF,Dockmagic,dockmagic,🟢 FREE,Practitioner,https://tryhackme.com/room/dockmagic
Security Labs & CTF,Dx1Libertyislandplde,dx1libertyislandplde,🟢 FREE,Practitioner,https://tryhackme.com/room/dx1libertyislandplde
Security Labs & CTF,Dx2Hellskitchen,dx2hellskitchen,🟢 FREE,Practitioner,https://tryhackme.com/room/dx2hellskitchen
Security Labs & CTF,Epoch,epoch,🟢 FREE,Practitioner,https://tryhackme.com/room/epoch
Active Directory & Windows,Eradicationandremediation,eradicationandremediation,🟢 FREE,Practitioner,https://tryhackme.com/room/eradicationandremediation
Security Labs & CTF,Ettubrute,ettubrute,🟢 FREE,Practitioner,https://tryhackme.com/room/ettubrute
Security Labs & CTF,Eventhorizonroom,eventhorizonroom,🟢 FREE,Practitioner,https://tryhackme.com/room/eventhorizonroom
Security Labs & CTF,Exfilnode,exfilnode,🟢 FREE,Practitioner,https://tryhackme.com/room/exfilnode
Security Labs & CTF,Eyeswideshut,eyeswideshut,🟢 FREE,Practitioner,https://tryhackme.com/room/eyeswideshut
Security Labs & CTF,Fearsecond,fearsecond,🟢 FREE,Practitioner,https://tryhackme.com/room/fearsecond
Security Labs & CTF,Frankandherby,frankandherby,🟢 FREE,Practitioner,https://tryhackme.com/room/frankandherby
Security Labs & CTF,Gamebuzz,gamebuzz,🟢 FREE,Practitioner,https://tryhackme.com/room/gamebuzz
Security Labs & CTF,Goldeneye,goldeneye,🟢 FREE,Practitioner,https://tryhackme.com/room/goldeneye
Security Labs & CTF,Hackernote,hackernote,🟢 FREE,Practitioner,https://tryhackme.com/room/hackernote
Active Directory & Windows,Hackinghadoop,hackinghadoop,🟢 FREE,Practitioner,https://tryhackme.com/room/hackinghadoop
Security Labs & CTF,Hamlet,hamlet,🟢 FREE,Practitioner,https://tryhackme.com/room/hamlet
Security Labs & CTF,Hc0Nchristmasctf,hc0nchristmasctf,🟢 FREE,Practitioner,https://tryhackme.com/room/hc0nchristmasctf
Security Labs & CTF,Hfb1Precision,hfb1precision,🟢 FREE,Practitioner,https://tryhackme.com/room/hfb1precision
Security Labs & CTF,Hfb1Thegamev2,hfb1thegamev2,🟢 FREE,Practitioner,https://tryhackme.com/room/hfb1thegamev2
Security Labs & CTF,Hfb1Voidexecution,hfb1voidexecution,🟢 FREE,Practitioner,https://tryhackme.com/room/hfb1voidexecution
Security Labs & CTF,Iampermissions,iampermissions,🟢 FREE,Practitioner,https://tryhackme.com/room/iampermissions
Systems & Fundamentals,Introtopwntools,introtopwntools,🟢 FREE,Practitioner,https://tryhackme.com/room/introtopwntools
Security Labs & CTF,Jack,jack,🟢 FREE,Practitioner,https://tryhackme.com/room/jack
Security Labs & CTF,Keldagrim,keldagrim,🟢 FREE,Practitioner,https://tryhackme.com/room/keldagrim
Security Labs & CTF,Kothhackers,kothhackers,🟢 FREE,Practitioner,https://tryhackme.com/room/kothhackers
Security Labs & CTF,Labyrinth8Llv,labyrinth8llv,🟢 FREE,Practitioner,https://tryhackme.com/room/labyrinth8llv
Active Directory & Windows,Lambdadataexfiltration,lambdadataexfiltration,🟢 FREE,Practitioner,https://tryhackme.com/room/lambdadataexfiltration
Security Labs & CTF,Lumberjackturtle,lumberjackturtle,🟢 FREE,Practitioner,https://tryhackme.com/room/lumberjackturtle
Security Labs & CTF,Marketplace,marketplace,🟢 FREE,Practitioner,https://tryhackme.com/room/marketplace
DFIR & Forensics,Memoryacquisition,memoryacquisition,🟢 FREE,Practitioner,https://tryhackme.com/room/memoryacquisition
Security Labs & CTF,Mindgames,mindgames,🟢 FREE,Practitioner,https://tryhackme.com/room/mindgames
Security Labs & CTF,Misguidedghosts,misguidedghosts,🟢 FREE,Practitioner,https://tryhackme.com/room/misguidedghosts
Security Labs & CTF,Mnemonic,mnemonic,🟢 FREE,Practitioner,https://tryhackme.com/room/mnemonic
Security Labs & CTF,Motunui,motunui,🟢 FREE,Practitioner,https://tryhackme.com/room/motunui
Security Labs & CTF,Nextjscve202529927,nextjscve202529927,🟢 FREE,Practitioner,https://tryhackme.com/room/nextjscve202529927
Security Labs & CTF,Nonamectf,nonamectf,🟢 FREE,Practitioner,https://tryhackme.com/room/nonamectf
Security Labs & CTF,Osiris,osiris,🟢 FREE,Practitioner,https://tryhackme.com/room/osiris
Active Directory & Windows,Padelify,padelify,🟢 FREE,Practitioner,https://tryhackme.com/room/padelify
Security Labs & CTF,Passwordattacks,passwordattacks,🟢 FREE,Practitioner,https://tryhackme.com/room/passwordattacks
Security Labs & CTF,Plottedemr,plottedemr,🟢 FREE,Practitioner,https://tryhackme.com/room/plottedemr
Security Labs & CTF,Plottedlms,plottedlms,🟢 FREE,Practitioner,https://tryhackme.com/room/plottedlms
Security Labs & CTF,Pressedroom,pressedroom,🟢 FREE,Practitioner,https://tryhackme.com/room/pressedroom
Security Labs & CTF,Printnightmarec3Kj,printnightmarec3kj,🟢 FREE,Practitioner,https://tryhackme.com/room/printnightmarec3kj
Security Labs & CTF,Printnightmarehpzqlp8,printnightmarehpzqlp8,🟢 FREE,Practitioner,https://tryhackme.com/room/printnightmarehpzqlp8
Security Labs & CTF,Publickeyinfrastructure,publickeyinfrastructure,🟢 FREE,Practitioner,https://tryhackme.com/room/publickeyinfrastructure
Security Labs & CTF,Pythonplayground,pythonplayground,🟢 FREE,Practitioner,https://tryhackme.com/room/pythonplayground
Security Labs & CTF,Raceconditions,raceconditions,🟢 FREE,Practitioner,https://tryhackme.com/room/raceconditions
Security Labs & CTF,Redstoneonecarat,redstoneonecarat,🟢 FREE,Practitioner,https://tryhackme.com/room/redstoneonecarat
Active Directory & Windows,Reloaded,reloaded,🟢 FREE,Practitioner,https://tryhackme.com/room/reloaded
Security Labs & CTF,Rocket,rocket,🟢 FREE,Practitioner,https://tryhackme.com/room/rocket
Security Labs & CTF,Safezone,safezone,🟢 FREE,Practitioner,https://tryhackme.com/room/safezone
Security Labs & CTF,Scripting,scripting,🟢 FREE,Practitioner,https://tryhackme.com/room/scripting
Security Labs & CTF,Sequence,sequence,🟢 FREE,Practitioner,https://tryhackme.com/room/sequence
Security Labs & CTF,Services,services,🟢 FREE,Practitioner,https://tryhackme.com/room/services
Security Labs & CTF,Sighunt,sighunt,🟢 FREE,Practitioner,https://tryhackme.com/room/sighunt
Security Labs & CTF,Stscredentialslab,stscredentialslab,🟢 FREE,Practitioner,https://tryhackme.com/room/stscredentialslab
Security Labs & CTF,Subscribe,subscribe,🟢 FREE,Practitioner,https://tryhackme.com/room/subscribe
Security Labs & CTF,Supersecrettip,supersecrettip,🟢 FREE,Practitioner,https://tryhackme.com/room/supersecrettip
Security Labs & CTF,Surfingyetiiscomingtotown,surfingyetiiscomingtotown,🟢 FREE,Practitioner,https://tryhackme.com/room/surfingyetiiscomingtotown
Security Labs & CTF,Tempusfugitdurius,tempusfugitdurius,🟢 FREE,Practitioner,https://tryhackme.com/room/tempusfugitdurius
Security Labs & CTF,Thequestforleastprivilege,thequestforleastprivilege,🟢 FREE,Practitioner,https://tryhackme.com/room/thequestforleastprivilege
Security Labs & CTF,Tryhack3Mencryptionchallenge,tryhack3mencryptionchallenge,🟢 FREE,Practitioner,https://tryhackme.com/room/tryhack3mencryptionchallenge
Security Labs & CTF,Trypwnmetwo,trypwnmetwo,🟢 FREE,Practitioner,https://tryhackme.com/room/trypwnmetwo
Security Labs & CTF,Unbakedpie,unbakedpie,🟢 FREE,Practitioner,https://tryhackme.com/room/unbakedpie
Security Labs & CTF,Uranium,uranium,🟢 FREE,Practitioner,https://tryhackme.com/room/uranium
Security Labs & CTF,Volttyphoon,volttyphoon,🟢 FREE,Practitioner,https://tryhackme.com/room/volttyphoon
Security Labs & CTF,Voyage,voyage,🟢 FREE,Practitioner,https://tryhackme.com/room/voyage
Security Labs & CTF,Vulnnetdotjar,vulnnetdotjar,🟢 FREE,Practitioner,https://tryhackme.com/room/vulnnetdotjar
Security Labs & CTF,Vulnnetdotpy,vulnnetdotpy,🟢 FREE,Practitioner,https://tryhackme.com/room/vulnnetdotpy
Security Labs & CTF,Willow,willow,🟢 FREE,Practitioner,https://tryhackme.com/room/willow
Security Labs & CTF,Win64Assembly,win64assembly,🟢 FREE,Practitioner,https://tryhackme.com/room/win64assembly
Active Directory & Windows,Windowsnetworkanalysis,windowsnetworkanalysis,🟢 FREE,Practitioner,https://tryhackme.com/room/windowsnetworkanalysis
Active Directory & Windows,Windowsreversingintro,windowsreversingintro,🟢 FREE,Practitioner,https://tryhackme.com/room/windowsreversingintro
Active Directory & Windows,Windowsuseractivity,windowsuseractivity,🟢 FREE,Practitioner,https://tryhackme.com/room/windowsuseractivity
Security Labs & CTF,Yearofthedog,yearofthedog,🟢 FREE,Practitioner,https://tryhackme.com/room/yearofthedog
Security Labs & CTF,Yearofthejellyfish,yearofthejellyfish,🟢 FREE,Practitioner,https://tryhackme.com/room/yearofthejellyfish
Active Directory & Windows,Abusingwindowsinternals,abusingwindowsinternals,🟢 FREE,Practitioner,https://tryhackme.com/room/abusingwindowsinternals
Active Directory & Windows,Adbadsuccessor,adbadsuccessor,🟢 FREE,Practitioner,https://tryhackme.com/room/adbadsuccessor
Active Directory & Windows,Adventofcyber2023,adventofcyber2023,🟢 FREE,Practitioner,https://tryhackme.com/room/adventofcyber2023
Security Labs & CTF,Airplane,airplane,🟢 FREE,Practitioner,https://tryhackme.com/room/airplane
Security Labs & CTF,Antireverseengineering,antireverseengineering,🟢 FREE,Practitioner,https://tryhackme.com/room/antireverseengineering
Security Labs & CTF,Aster,aster,🟢 FREE,Practitioner,https://tryhackme.com/room/aster
Security Labs & CTF,Attackerkb,attackerkb,🟢 FREE,Practitioner,https://tryhackme.com/room/attackerkb
Security Labs & CTF,Attackingics1,attackingics1,🟢 FREE,Practitioner,https://tryhackme.com/room/attackingics1
Security Labs & CTF,Awsvpcdataexfiltration,awsvpcdataexfiltration,🟢 FREE,Practitioner,https://tryhackme.com/room/awsvpcdataexfiltration
Security Labs & CTF,Azuredevsecops,azuredevsecops,🟢 FREE,Practitioner,https://tryhackme.com/room/azuredevsecops
Security Labs & CTF,Bebop,bebop,🟢 FREE,Practitioner,https://tryhackme.com/room/bebop
