Category,Title,Points,Difficulty,Solves,URL,Slug,Description
Introduction,Finding Flags,2,Easy,110604,https://cryptohack.org/challenges/introduction/,fflags,"Each challenge is designed to help introduce you to a new piece of cryptography. Solving a challenge will require you to find a ""flag"". These flags will usually be in the format crypto{y0ur_f1rst_fl4g"
Introduction,Great Snakes,3,Easy,93305,https://cryptohack.org/challenges/introduction/,nc-intro,"Modern cryptography involves code, and code involves coding. CryptoHack provides a good opportunity to sharpen your skills. Of all modern programming languages, Python 3 stands out as ideal for quickl"
Introduction,Network Attacks,5,Easy,33824,https://cryptohack.org/challenges/introduction/,nc-intro-2,"Several of the challenges are dynamic and require you to talk to our challenge servers over the network. This allows you to perform man-in-the-middle attacks on people trying to communicate, or direct"
General,ASCII,5,Easy,85903,https://cryptohack.org/challenges/general/,enc1,"ASCII is a 7-bit encoding standard which allows the representation of text using the integers 0-127. Using the below integer array, convert the numbers to their corresponding ASCII characters to obtai"
General,Hex,5,Easy,79911,https://cryptohack.org/challenges/general/,enc2,"When we encrypt something the resulting ciphertext commonly has bytes which are not printable ASCII characters. If we want to share our encrypted data, it's common to encode it into something more use"
General,Base64,10,Easy,72866,https://cryptohack.org/challenges/general/,enc3,"Another common encoding scheme is Base64, which allows us to represent binary data as an ASCII string using an alphabet of 64 characters. One character of a Base64 string encodes 6 binary digits (bits"
General,Bytes and Big Integers,10,Easy,60229,https://cryptohack.org/challenges/general/,enc4,"Cryptosystems like RSA works on numbers, but messages are made up of characters. How should we convert our messages into numbers so that mathematical operations can be applied? The most common way is "
General,Encoding Challenge,40,Medium,16064,https://cryptohack.org/challenges/general/,enc_interactive,"Now you've got the hang of the various encodings you'll be encountering, let's have a look at automating it. Can you pass all 100 levels to get the flag? The 13377.py file attached below is the source"
General,XOR Starter,10,Easy,52652,https://cryptohack.org/challenges/general/,xor0,"XOR is a bitwise operator which returns 0 if the bits are the same, and 1 otherwise. In textbooks the XOR operator is denoted by ⊕, but in most challenges and programming languages you will see the ca"
General,XOR Properties,15,Easy,44771,https://cryptohack.org/challenges/general/,xor1,"In the last challenge, you saw how XOR worked at the level of bits. In this one, we're going to cover the properties of the XOR operation and then use them to undo a chain of operations that have encr"
General,Favourite byte,20,Medium,42852,https://cryptohack.org/challenges/general/,xorkey0,"For the next few challenges, you'll use what you've just learned to solve some more XOR puzzles. I've hidden some data using XOR with a single byte, but that byte is a secret. Don't forget to decode f"
General,"You either know, XOR you don&#39;t",30,Medium,37826,https://cryptohack.org/challenges/general/,xorkey1,"I've encrypted the flag with my secret key, you'll never be able to guess it. Remember the flag format and how it might help you in this challenge! 0e0b213f26041e480b26217f27342e175d0e070a3c5b103e2526"
