ID,題目名稱,分類,難易度,分數,作者,全站解出人數,個人完成狀態,事件/出處
783,"Trust But Verify","Artificial Intelligence",1,1,"LT 'syreal' Jones",3721,未完成,"AI Foundations I"
782,"Perceptron Train XOR","Artificial Intelligence",1,1,"LT 'syreal' Jones",1995,未完成,"AI Foundations I"
781,"Perceptron Train XNOR","Artificial Intelligence",1,1,"LT 'syreal' Jones",1595,未完成,"AI Foundations I"
780,"Perceptron Train Hole in Middle","Artificial Intelligence",1,1,"LT 'syreal' Jones",1382,未完成,"AI Foundations I"
779,"Perceptron Train Classic 2 Alpha","Artificial Intelligence",1,1,"LT 'syreal' Jones",1114,未完成,"AI Foundations I"
778,"Perceptron Train Classic 1","Artificial Intelligence",1,1,"LT 'syreal' Jones",1020,未完成,"AI Foundations I"
777,"Perceptron Train Classic 0","Artificial Intelligence",1,1,"LT 'syreal' Jones",962,未完成,"AI Foundations I"
776,"Perceptron Train 3-Bit Parity","Artificial Intelligence",1,1,"LT 'syreal' Jones",877,未完成,"AI Foundations I"
775,"Perceptron Play Naught","Artificial Intelligence",1,1,"LT 'syreal' Jones",737,未完成,"AI Foundations I"
774,"Perceptron Play Alpha","Artificial Intelligence",1,1,"LT 'syreal' Jones",744,未完成,"AI Foundations I"
773,"Perceptron Play 1D Alpha","Artificial Intelligence",1,1,"LT 'syreal' Jones",759,未完成,"AI Foundations I"
772,"Neuron Meet 2D-0","Artificial Intelligence",1,1,"LT 'syreal' Jones",1271,未完成,"AI Foundations I"
771,"Neuron Meet 0","Artificial Intelligence",1,1,"LT 'syreal' Jones",1393,未完成,"AI Foundations I"
770,"Neuron Express 2D-0","Artificial Intelligence",1,1,"LT 'syreal' Jones",796,未完成,"AI Foundations I"
769,"Neuron Express 0","Artificial Intelligence",1,1,"LT 'syreal' Jones",932,未完成,"AI Foundations I"
768,"Assistant or Agent?","Artificial Intelligence",1,1,"LT 'syreal' Jones",767,未完成,"AI Foundations I"
766,"Undo","General Skills",1,100,"Yahaya Meddy",16000,未完成,"picoCTF 2026"
764,"MY GIT","General Skills",1,50,"Darkraicg492",10570,已完成,"picoCTF 2026"
762,"bytemancy 1","General Skills",1,100,"LT 'syreal' Jones",8979,未完成,"picoCTF 2026"
759,"Printer Shares","General Skills",1,50,"Janice He",8022,未完成,"picoCTF 2026"
757,"ping-cmd","General Skills",1,100,"Yahaya Meddy",10698,未完成,"picoCTF 2026"
742,"bytemancy 0","General Skills",1,50,"LT 'syreal' Jones",8803,未完成,"picoCTF 2026"
740,"Piece by Piece","General Skills",1,50,"Yahaya Meddy",9608,未完成,"picoCTF 2026"
739,"Old Sessions","Web Exploitation",1,100,"David Gaviria",15755,未完成,"picoCTF 2026"
735,"SUDO MAKE ME A SANDWICH","General Skills",1,50,"Darkraicg492",10863,未完成,"picoCTF 2026"
727,"Quizploit","Binary Exploitation",1,50,"Aditya Sudhansu",6161,未完成,"picoCTF 2026"
719,"StegoRSA","Cryptography",1,100,"Yahaya Meddy",8014,未完成,"picoCTF 2026"
715,"Shared Secrets","Cryptography",1,100,"Yahaya Meddy",7207,未完成,"picoCTF 2026"
712,"Password Profiler","General Skills",1,100,"Yahaya Meddy",5245,未完成,"picoCTF 2026"
710,"MultiCode","General Skills",1,200,"Yahaya Meddy",6613,未完成,"picoCTF 2026"
698,"Binary Digits","Forensics",1,100,"Yahaya Meddy",9627,未完成,"picoCTF 2026"
530,"Riddle Registry","Forensics",1,50,"Prince Niyonshuti N.",42792,已完成,"picoMini by CMU-Africa"
527,"Log Hunt","General Skills",1,50,"Yahaya Meddy",43250,已完成,"picoMini by CMU-Africa"
524,"Hidden in plainsight","Forensics",1,100,"Yahaya Meddy",31905,已完成,"picoMini by CMU-Africa"
523,"Flag in Flame","Forensics",1,100,"Prince Niyonshuti N.",23489,已完成,"picoMini by CMU-Africa"
520,"Crack the Gate 1","Web Exploitation",1,100,"Yahaya Meddy",34198,未完成,"picoMini by CMU-Africa"
519,"Corrupted file","Forensics",1,100,"Yahaya Meddy",19259,未完成,"picoMini by CMU-Africa"
505,"DISKO 1","Forensics",1,1,"Darkraicg492",36495,未完成,""
492,"SSTI1","Web Exploitation",1,100,"Venax",55601,未完成,"picoCTF 2025"
490,"PIE TIME","Binary Exploitation",1,75,"Darkraicg492",20012,未完成,"picoCTF 2025"
482,"n0s4n1ty 1","Web Exploitation",1,100,"Prince Niyonshuti N.",19843,未完成,"picoCTF 2025"
476,"head-dump","Web Exploitation",1,50,"Prince Niyonshuti N.",28245,未完成,"picoCTF 2025"
475,"hashcrack","Cryptography",1,100,"Nana Ama Atombo-Sackey",48793,未完成,"picoCTF 2025"
472,"Flag Hunters","Reverse Engineering",1,75,"syreal",26143,未完成,"picoCTF 2025"
471,"FANTASY CTF","General Skills",1,10,"syreal",45905,未完成,"picoCTF 2025"
470,"EVEN RSA CAN BE BROKEN???","Cryptography",1,200,"Michael Crotty",24916,未完成,"picoCTF 2025"
469,"Cookie Monster Secret Recipe","Web Exploitation",1,50,"Brhane Giday and Prince Niyonshuti N.",52623,未完成,"picoCTF 2025"
463,"Rust fixme 3","General Skills",1,100,"Taylor McCampbell",10554,未完成,"picoCTF 2025"
462,"Rust fixme 2","General Skills",1,100,"Taylor McCampbell",10100,未完成,"picoCTF 2025"
461,"Rust fixme 1","General Skills",1,100,"Taylor McCampbell",11559,未完成,"picoCTF 2025"
460,"RED","Forensics",1,100,"Shuailin Pan (LeConjuror)",29046,未完成,"picoCTF 2025"
459,"Ph4nt0m 1ntrud3r","Forensics",1,50,"Prince Niyonshuti N.",18012,未完成,"picoCTF 2025"
450,"Verify","Forensics",1,50,"Jeffery John",61671,未完成,"picoCTF 2024"
444,"Scan Surprise","Forensics",1,50,"Jeffery John",70119,未完成,"picoCTF 2024"
442,"Binary Search","General Skills",1,100,"Jeffery John",60279,未完成,"picoCTF 2024"
438,"heap 0","Binary Exploitation",1,50,"Abrxs, pr1or1tyQ",38368,未完成,"picoCTF 2024"
433,"format string 0","Binary Exploitation",1,50,"Cheng Zhang",35136,未完成,"picoCTF 2024"
427,"WebDecode","Web Exploitation",1,50,"Nana Ama Atombo-Sackey",95576,未完成,"picoCTF 2024"
426,"Unminify","Web Exploitation",1,100,"Jeffery John",79329,未完成,"picoCTF 2024"
425,"Time Machine","General Skills",1,50,"Jeffery John",53407,未完成,"picoCTF 2024"
424,"Super SSH","General Skills",1,25,"Jeffery John",103917,未完成,"picoCTF 2024"
423,"Secret of the Polyglot","Forensics",1,100,"syreal",44172,未完成,"picoCTF 2024"
419,"IntroToBurp","Web Exploitation",1,100,"Nana Ama Atombo-Sackey & Sabine Gisagara",46250,未完成,"picoCTF 2024"
418,"interencdec","Cryptography",1,50,"NGIRIMANA Schadrack",61303,未完成,"picoCTF 2024"
414,"endianness","General Skills",1,200,"Nana Ama Atombo-Sackey",26578,未完成,"picoCTF 2024"
411,"Commitment Issues","General Skills",1,50,"Jeffery John",34866,未完成,"picoCTF 2024"
410,"Collaborative Development","General Skills",1,75,"Jeffery John",25831,未完成,"picoCTF 2024"
408,"CanYouSee","Forensics",1,100,"Mubarak Mikail",46531,未完成,"picoCTF 2024"
406,"Bookmarklet","Web Exploitation",1,50,"Jeffery John",67246,未完成,"picoCTF 2024"
405,"Blame Game","General Skills",1,75,"Jeffery John",30459,未完成,"picoCTF 2024"
404,"binhexa","General Skills",1,100,"Nana Ama Atombo-Sackey",26888,未完成,"picoCTF 2024"
371,"repetitions","General Skills",1,100,"Theoneste Byagutangaza",43281,未完成,"picoCTF 2023"
322,"Big Zip","General Skills",1,100,"LT 'syreal' Jones",73612,未完成,""
320,"First Find","General Skills",1,100,"LT 'syreal' Jones",74133,未完成,""
278,"Local Authority","Web Exploitation",1,100,"LT 'syreal' Jones",89657,未完成,"picoCTF 2022"
275,"Inspect HTML","Web Exploitation",1,100,"LT 'syreal' Jones",123061,未完成,"picoCTF 2022"
274,"Includes","Web Exploitation",1,100,"LT 'syreal' Jones",88685,未完成,"picoCTF 2022"
250,"runme.py","General Skills",1,5,"Sujeet Kumar",67865,未完成,"Beginner picoMini 2022"
246,"PW Crack 2","General Skills",1,35,"LT 'syreal' Jones",80544,未完成,"Beginner picoMini 2022"
